"",localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday,GH_month,GH_week,use_month,use_week
9601,2016-02-03 08:00:00-06,3.0849333333333333,40.08,0.0,6.91,86.2322,1,48.4709,8.67802,4.921216666666666,0.5527833333333332
9613,2016-02-03 09:00:00-06,4.420066666666666,42.24,0.0,8.11,276.585,1,152.738,69.7307,4.473383333333333,1.4193166666666668
9625,2016-02-03 10:00:00-06,4.738566666666666,45.35,0.02,8.02,530.431,1,236.778,59.3378,4.724666666666667,2.8101833333333333
9637,2016-02-03 11:00:00-06,2.4240166666666667,49.25,0.12,8.18,691.0269999999999,1,500.024,118.99,4.751,0.6639833333333331
9649,2016-02-03 12:00:00-06,1.7158,51.82,0.11,7.26,772.5010000000001,1,683.6569999999999,161.075,2.473516666666667,0.555
9661,2016-02-03 13:00:00-06,1.087883333333333,54.26,0.0,7.49,801.5060000000001,1,719.077,126.71600000000001,1.4291,0.5605
9673,2016-02-03 14:00:00-06,1.1653166666666668,55.88,0.0,7.72,750.938,1,654.467,180.697,3.810483333333333,0.5365333333333332
9685,2016-02-03 15:00:00-06,3.5562666666666667,57.09,0.0,7.69,631.024,1,525.263,162.612,1.9716166666666668,0.5570833333333332
9697,2016-02-03 16:00:00-06,3.8325166666666663,57.14,0.0,7.0,445.13599999999997,1,352.059,205.173,1.3760666666666668,0.5392666666666666
9709,2016-02-03 17:00:00-06,2.121766666666667,55.18,0.0,6.36,232.882,1,137.42700000000002,49.4642,2.239983333333333,0.5454166666666665
9721,2016-02-03 18:00:00-06,3.243716666666667,52.8,0.0,5.68,32.2436,1,2.7545599999999997,4.88432,2.781166666666667,0.3334
9733,2016-02-03 19:00:00-06,1.4294,50.17,0.01,4.15,-3.5764400000000003,1,-2.72211,-2.20127,1.2658666666666667,0.3522333333333333
9745,2016-02-03 20:00:00-06,1.653166666666667,47.76,0.0,4.27,-3.4019699999999995,1,-2.72315,-2.38282,1.2388333333333332,0.3335333333333333
9757,2016-02-03 21:00:00-06,1.0192166666666669,45.71,0.0,3.42,-3.19334,1,-2.72364,-2.72337,1.8432,0.33205
9769,2016-02-03 22:00:00-06,0.7517333333333331,43.1,0.0,2.49,-3.0636200000000002,1,-2.04311,-2.7298,1.8148,0.3519833333333333
9781,2016-02-03 23:00:00-06,1.9003333333333332,40.54,0.01,2.89,-2.9729900000000002,1,-2.34958,-2.72476,1.96955,0.3374666666666666
9793,2016-02-04 00:00:00-06,2.31685,38.57,0.0,3.24,-2.72412,1,-2.7185900000000003,-2.7253,2.5208,0.3579833333333333
9805,2016-02-04 01:00:00-06,3.03115,38.05,0.0,3.3,-2.72427,1,-2.38397,-2.7255700000000003,2.423833333333333,0.3395666666666666
9817,2016-02-04 02:00:00-06,2.7705333333333333,36.84,0.0,3.06,-2.89527,1,-2.60576,-2.5840099999999997,2.3821833333333333,0.5396666666666666
9829,2016-02-04 03:00:00-06,2.977266666666667,36.33,0.0,3.2,-3.00326,1,-1.42499,-2.726,2.91475,0.5332
9841,2016-02-04 04:00:00-06,2.6749666666666667,35.01,0.0,2.95,-2.72518,1,-1.70317,-2.72612,3.144433333333333,0.5285166666666666
9853,2016-02-04 05:00:00-06,3.2160333333333333,34.25,0.0,2.96,-2.72553,1,-1.3623299999999998,-2.72646,2.727,0.5610666666666666
9865,2016-02-04 06:00:00-06,3.6562,33.16,0.0,2.38,-3.06623,1,-1.9921099999999998,-2.72655,3.082883333333333,0.5094833333333332
9877,2016-02-04 07:00:00-06,4.156466666666667,32.92,0.01,2.73,-2.72598,1,-1.7026,-2.72655,3.5582,0.6315666666666666
9889,2016-02-04 08:00:00-06,5.04415,34.76,0.01,2.79,121.244,1,21.3903,110.82,3.91855,0.5697
9901,2016-02-04 09:00:00-06,4.48625,40.61,0.01,2.21,327.024,1,71.5287,312.295,5.0584,1.4357166666666668
9913,2016-02-04 10:00:00-06,5.5561333333333325,45.66,0.02,2.1,538.7869999999999,1,177.791,520.535,5.22455,2.8281
9925,2016-02-04 11:00:00-06,2.475633333333333,49.82,0.02,2.07,695.949,1,159.803,676.2660000000001,5.008016666666666,0.6782833333333332
9937,2016-02-04 12:00:00-06,2.2696,53.01,0.04,2.08,791.534,1,207.55200000000002,768.738,2.572766666666667,0.5083666666666666
9949,2016-02-04 13:00:00-06,1.4764666666666668,55.03,0.02,1.46,813.4839999999999,1,142.982,788.586,2.973133333333333,0.49815
9961,2016-02-04 14:00:00-06,2.73075,56.44,0.03,1.51,750.9630000000001,1,107.926,737.7919999999999,2.1277,0.4800333333333332
9973,2016-02-04 15:00:00-06,1.5304,57.39,0.03,2.46,639.9259999999999,1,82.9796,616.93,1.4585833333333331,0.4995333333333332
9985,2016-02-04 16:00:00-06,1.9356166666666668,57.42,0.1,1.31,449.10400000000004,1,42.1758,424.539,1.751,0.5049
9997,2016-02-04 17:00:00-06,2.26475,56.11,0.12,1.12,234.467,1,16.2036,216.53599999999997,3.23935,0.5240333333333332
10009,2016-02-04 18:00:00-06,1.4212833333333332,53.6,0.07,2.16,33.7915,1,-1.70087,23.8256,1.42175,0.3547333333333333
10021,2016-02-04 19:00:00-06,1.2549666666666668,49.86,0.0,2.28,-3.36275,1,-2.12608,-3.89874,1.18875,0.3348333333333333
10033,2016-02-04 20:00:00-06,1.59,46.95,0.0,2.66,-3.08059,1,-2.38124,-3.92271,1.7796333333333332,0.3454666666666666
10045,2016-02-04 21:00:00-06,1.5143,44.87,0.0,1.3,-3.0587400000000002,1,-1.70113,-3.3394699999999995,1.7343166666666667,0.3332166666666666
10057,2016-02-04 22:00:00-06,0.7219833333333332,41.04,0.0,0.75,-2.84348,1,-1.9450900000000002,-2.98316,1.68725,0.3562833333333333
10069,2016-02-04 23:00:00-06,1.3746666666666667,39.28,0.0,0.76,-3.06502,1,-1.8884,-3.05167,1.9379833333333332,0.3531166666666666
10081,2016-02-05 00:00:00-06,2.0488666666666666,38.56,0.14,0.61,-2.8102099999999997,1,-1.8602299999999998,-2.75725,1.7685,0.4456
10093,2016-02-05 01:00:00-06,2.0970833333333334,37.56,0.12,0.55,-2.86707,1,-1.85457,-2.84826,1.6617666666666668,0.3624
10105,2016-02-05 02:00:00-06,2.7725,35.81,0.04,0.7,-2.8278,1,-2.3820200000000002,-2.72418,1.7361666666666669,0.3501166666666666
10117,2016-02-05 03:00:00-06,2.67365,35.22,0.02,0.33,-3.0667400000000002,1,-2.4841,-2.73,2.054616666666667,0.36035
10129,2016-02-05 04:00:00-06,2.365866666666667,34.88,0.01,0.38,-2.7261599999999997,1,-2.13821,-2.72485,1.9559,0.3358833333333333
10141,2016-02-05 05:00:00-06,3.3681,33.56,0.0,0.8,-2.72645,1,-1.72417,-2.72507,2.04145,0.3540666666666666
10153,2016-02-05 06:00:00-06,2.84685,33.41,0.0,1.1,-3.06727,1,-2.3822900000000002,-2.8331,2.0414166666666667,0.5645333333333332
10165,2016-02-05 07:00:00-06,3.2207,33.72,0.01,1.06,-2.67548,1,-1.7698,-2.72552,2.394066666666667,0.53845
10177,2016-02-05 08:00:00-06,3.9515666666666664,36.62,0.0,0.69,116.399,1,35.4754,105.052,3.4955,0.5218
10189,2016-02-05 09:00:00-06,4.782833333333333,42.64,0.0,1.6,312.048,1,52.6909,327.07,5.81105,1.4160666666666668
10201,2016-02-05 10:00:00-06,4.944733333333333,47.6,0.01,3.35,515.53,1,487.342,485.9,3.6753,2.95
10213,2016-02-05 11:00:00-06,2.5469,52.64,0.02,3.71,682.932,1,384.32199999999995,692.795,1.462,0.6872333333333333
10225,2016-02-05 12:00:00-06,1.828733333333333,56.66,0.03,4.95,828.2339999999999,1,335.901,741.221,2.082333333333333,0.5297333333333332
10237,2016-02-05 13:00:00-06,1.4235,58.49,0.03,5.26,168.97799999999998,1,155.946,816.81,5.339,0.4888166666666666
10249,2016-02-05 14:00:00-06,2.00145,59.46,0.03,5.09,107.87700000000001,1,186.982,699.703,5.5998,0.5027666666666666
10261,2016-02-05 15:00:00-06,1.87665,59.64,0.02,5.2,84.977,1,396.49699999999996,585.003,2.913733333333333,0.4923
10273,2016-02-05 16:00:00-06,1.81935,59.97,0.01,4.75,80.948,1,200.68599999999998,296.813,4.300433333333332,0.4893833333333332
10285,2016-02-05 17:00:00-06,1.3757166666666667,58.39,0.07,4.07,55.3537,1,88.9366,247.713,3.6254166666666663,0.4888333333333332
10297,2016-02-05 18:00:00-06,1.36445,55.93,0.44,2.93,4.00767,1,-0.753328,26.9389,1.2861166666666668,0.3211666666666666
10309,2016-02-05 19:00:00-06,1.31415,53.96,0.73,3.15,-2.2450099999999997,1,-2.9064799999999997,-3.3991300000000004,1.6823666666666668,0.3506666666666666
10321,2016-02-05 20:00:00-06,1.4574833333333332,54.1,0.9,3.21,-2.38121,1,-2.7198700000000002,-3.21913,1.5815,0.34355
10333,2016-02-05 21:00:00-06,1.3141666666666667,53.01,0.79,3.26,-2.38121,1,-2.69215,-2.88576,1.7573666666666667,0.3894166666666666
10345,2016-02-05 22:00:00-06,0.6755666666666666,52.41,0.72,3.9,-2.72145,1,-2.7204900000000003,-2.72169,0.9541,0.3490833333333333
10357,2016-02-05 23:00:00-06,0.8768666666666666,51.69,0.36,4.03,-3.06252,1,-2.60753,-2.72229,1.0287333333333333,0.3584666666666666
10369,2016-02-06 00:00:00-06,1.4099166666666667,48.2,0.31,4.11,-2.72273,0,-2.7212400000000003,-2.85275,1.0932166666666667,0.33985
10381,2016-02-06 01:00:00-06,1.5206333333333333,46.99,0.17,3.55,-2.74591,0,-2.38121,-2.7223,1.62645,0.3531833333333333
10393,2016-02-06 02:00:00-06,1.9269333333333332,46.07,0.25,2.91,-2.72323,0,-1.8879599999999999,-2.7225099999999998,1.6136166666666667,0.3494666666666666
10405,2016-02-06 03:00:00-06,2.0609,45.11,0.08,4.13,-1.9973599999999998,0,-1.7122,-2.72275,1.3078166666666668,0.3363833333333333
10417,2016-02-06 04:00:00-06,2.10965,43.69,0.06,5.23,-2.82539,0,-1.72354,-2.72284,1.58615,0.3512666666666666
10429,2016-02-06 05:00:00-06,2.031366666666667,42.83,0.03,5.18,-2.72377,0,-1.8766200000000002,-2.77993,1.79995,0.3335666666666666
10441,2016-02-06 06:00:00-06,2.786433333333333,42.57,0.0,7.61,-3.00791,0,-2.38119,-3.08059,1.74065,0.5684333333333332
10453,2016-02-06 07:00:00-06,3.8365166666666664,42.64,0.01,7.5,-2.5823099999999997,0,-2.38082,-2.96718,1.95725,0.5367166666666666
10465,2016-02-06 08:00:00-06,3.0770833333333334,44.01,0.01,9.32,122.23100000000001,0,21.9625,57.914,2.6517,0.5473333333333332
10477,2016-02-06 09:00:00-06,5.785416666666666,46.37,0.01,10.34,319.346,0,113.986,336.356,3.05965,1.42845
10489,2016-02-06 10:00:00-06,5.617116666666666,49.95,0.01,11.25,535.943,0,145.411,532.352,4.656983333333333,2.8777
10501,2016-02-06 11:00:00-06,3.3928333333333334,53.52,0.01,12.23,699.4110000000001,0,129.97,676.9680000000001,1.7859833333333333,0.7053666666666666
10513,2016-02-06 12:00:00-06,4.80805,56.19,0.01,11.82,806.492,0,361.695,574.793,1.5923,0.53145
10525,2016-02-06 13:00:00-06,1.2425333333333333,57.99,0.01,11.64,828.2810000000001,0,209.547,763.17,1.503016666666667,0.4862666666666666
10537,2016-02-06 14:00:00-06,1.182316666666667,59.03,0.01,10.83,780.934,0,567.729,734.775,1.4281833333333331,0.4899166666666666
10549,2016-02-06 15:00:00-06,1.3586,59.56,0.01,9.48,656.2760000000001,0,526.735,610.207,2.027,0.5458166666666666
10561,2016-02-06 16:00:00-06,1.1258833333333331,59.18,0.01,8.3,469.971,0,352.14099999999996,270.906,1.990033333333333,2.9361333333333333
10573,2016-02-06 17:00:00-06,0.8972833333333331,58.19,0.02,6.87,253.822,0,151.954,286.651,1.8313,4.4488
10585,2016-02-06 18:00:00-06,1.18675,54.92,0.01,4.52,42.9153,0,-0.26621999999999996,14.3547,1.68675,4.949966666666667
10597,2016-02-06 19:00:00-06,1.41305,51.66,0.01,3.85,-4.08064,0,-3.1560900000000003,-2.7191,1.3430333333333333,5.1927
10609,2016-02-06 20:00:00-06,1.2757,48.47,0.0,2.71,-4.0822400000000005,0,-3.20814,-2.47028,1.3474666666666668,1.60405
10621,2016-02-06 21:00:00-06,1.0830666666666668,45.99,0.0,1.4,-3.56736,0,-3.39605,-2.71983,0.9999,1.3739833333333331
10633,2016-02-06 22:00:00-06,0.7472333333333331,43.48,0.0,0.79,-3.35851,0,-2.97689,-2.39738,0.4989666666666666,1.8991333333333331
10645,2016-02-06 23:00:00-06,1.17655,40.96,0.0,0.63,-3.53455,0,-2.7223,-2.4372,0.43785,1.7306833333333331
10657,2016-02-07 00:00:00-06,1.6971333333333332,40.11,0.01,1.46,-3.3994699999999995,0,-2.7223,-2.72055,0.4128,2.046183333333333
10669,2016-02-07 01:00:00-06,2.182033333333333,37.91,0.0,1.76,-3.3599900000000003,0,-1.88293,-2.7208900000000003,0.6987333333333332,1.7032166666666668
10681,2016-02-07 02:00:00-06,2.6636,36.41,0.0,1.7,-2.82157,0,-2.06407,-2.72103,0.72705,1.8763166666666669
10693,2016-02-07 03:00:00-06,2.832116666666667,35.33,0.0,1.4,-2.83933,0,-2.11499,-2.72138,0.9216,1.86495
10705,2016-02-07 04:00:00-06,3.1951666666666667,34.54,0.0,2.03,-2.79983,0,-2.3816900000000003,-2.72138,1.2758,1.87155
10717,2016-02-07 05:00:00-06,2.8944666666666667,33.64,0.0,1.84,-2.72618,0,-1.84323,-2.72138,1.2457166666666668,1.9343
10729,2016-02-07 06:00:00-06,3.03535,33.38,0.0,1.59,-3.02164,0,-2.0417099999999997,-3.40173,1.4967166666666667,1.6631166666666668
10741,2016-02-07 07:00:00-06,4.13305,34.47,0.01,1.83,-2.6409,0,-1.8712799999999998,-3.1579599999999997,2.5178,2.886833333333333
10753,2016-02-07 08:00:00-06,3.228333333333333,36.46,0.0,2.23,157.872,0,44.695,104.113,2.1756,1.7377166666666668
10765,2016-02-07 09:00:00-06,5.810383333333333,42.79,0.01,2.99,344.57,0,200.065,303.21299999999997,3.7736333333333327,2.855933333333333
10777,2016-02-07 10:00:00-06,7.3014,48.09,0.0,4.61,553.635,0,417.158,517.529,3.7529,4.753783333333333
10789,2016-02-07 11:00:00-06,3.700183333333333,53.27,0.0,4.89,696.7660000000001,0,718.319,670.2869999999999,1.5428333333333333,1.9680166666666667
10801,2016-02-07 12:00:00-06,1.744033333333333,57.14,0.0,5.66,821.075,0,477.962,759.02,1.255,0.98645
10813,2016-02-07 13:00:00-06,1.5321166666666668,60.83,0.0,6.08,843.035,0,460.81300000000005,782.034,1.2763166666666668,1.0873333333333333
10825,2016-02-07 14:00:00-06,1.163433333333333,63.02,0.0,6.95,802.88,0,317.875,724.258,1.5831666666666668,1.8544166666666668
10837,2016-02-07 15:00:00-06,1.0314,64.65,0.0,5.94,446.215,0,183.55599999999998,600.888,1.3789166666666668,3.117566666666667
10849,2016-02-07 16:00:00-06,1.4100666666666668,64.89,0.0,5.27,487.908,0,173.593,416.6,2.5664333333333333,2.1694
10861,2016-02-07 17:00:00-06,3.4195,63.82,0.0,3.78,180.222,0,76.5486,221.80900000000003,2.13235,2.586183333333333
10873,2016-02-07 18:00:00-06,1.49205,60.79,0.0,3.09,17.9655,0,-0.985291,25.26,3.9685,2.4233333333333333
10885,2016-02-07 19:00:00-06,1.36795,57.17,0.05,3.48,-3.3994199999999997,0,-3.3536599999999996,-4.75239,3.422283333333333,1.3338833333333333
10897,2016-02-07 20:00:00-06,4.585016666666666,54.21,0.03,3.12,-3.14551,0,-2.92939,-4.7544,1.2247666666666668,1.1026166666666668
10909,2016-02-07 21:00:00-06,1.1986666666666668,51.26,0.01,2.44,-2.72136,0,-2.94151,-3.18253,3.3575,1.0761
