,localhour,use,temperature,cloud_cover,wind_speed,GH,is_weekday
3406,2016-01-12 19:00:00-06,0.2821833333333333,53.09,0.0,1.72,-2.3075,1
3418,2016-01-12 20:00:00-06,0.66185,50.74,0.0,1.97,-2.38147,1
3430,2016-01-12 21:00:00-06,0.4861666666666666,47.18,0.0,1.95,-2.0927700000000002,1
3442,2016-01-12 22:00:00-06,0.50695,45.53,0.0,1.28,-2.25157,1
3454,2016-01-12 23:00:00-06,0.48265,44.05,0.0,1.12,-2.21208,1
3466,2016-01-13 00:00:00-06,0.4317833333333333,44.6,0.04,1.64,-2.38242,1
3478,2016-01-13 01:00:00-06,0.40285,43.41,0.11,1.97,-2.72321,1
3490,2016-01-13 02:00:00-06,0.42546666666666655,43.07,0.11,2.69,-2.38282,1
3502,2016-01-13 03:00:00-06,0.4226666666666665,42.58,0.14,2.47,-2.72323,1
3514,2016-01-13 04:00:00-06,0.4284333333333333,40.81,0.17,1.93,-2.72407,1
3526,2016-01-13 05:00:00-06,0.7078,39.78,0.21,1.95,-2.7242,1
3538,2016-01-13 06:00:00-06,0.8036833333333331,38.71,0.25,1.3,-2.7242,1
3550,2016-01-13 07:00:00-06,0.5691666666666666,39.13,0.25,1.45,-2.04334,1
3562,2016-01-13 08:00:00-06,0.9208,40.39,0.25,1.61,57.5718,1
3574,2016-01-13 09:00:00-06,1.2127666666666668,46.26,0.24,1.7,409.36,1
3586,2016-01-13 10:00:00-06,0.72205,51.95,0.28,2.88,158.49200000000002,1
3598,2016-01-13 11:00:00-06,0.53225,56.91,0.34,4.67,145.452,1
3610,2016-01-13 12:00:00-06,0.3525833333333333,60.94,0.36,5.18,174.173,1
3622,2016-01-13 13:00:00-06,0.2628833333333333,62.95,0.32,5.78,372.26199999999994,1
